text	label
crescimento fake, as custas de censura a MULHER do presidente. Você não iria defender as mulheres???... ahhh sim...só nas que votam em ti... perfeito....	0
Porque você só trabalha para o plano de J. P. Lemann....que nada mais é NÃO trabalhar para o povo brasileiro. Menina COVARDE !!!	1
Presidênciavel SIMONE TEBET 🇧🇷....por favor.. Socorra estas RESERVAS AMAMBAÍ E NAVIRAÍ....os Milicianos de farda n deixam os indígenas BALEADOS ADENTRAR AOS hospitais!!!pq⁉️⁉️😭😭🙈	0
Vai embora do Brasil então, nosso país ficará muito melhor sem essas teorias da conspiração, dessa turma do cercadinho da Terraplana!!!	0
Aquela cretina daquela jornalista - Liliane Ventura - que fez pouco caso do Pavesi na tv, na época, poderia pegar uma semaninha de cadeia também. E/ou tomar um processo também. Que vá defender traficante de órgão no inferno.	0
Me espanta alguém achar ruim um candidato que pede votos pra ele mesmo. Você queria que ele pedisse pra quem? Pra você?	0
Se o ladrão petista ganhar não vai ter Senado, estarão todos recebendo dinheiro ilícito para ficarem calados.	0
NÃO QUIS INVESTIGAR A CORRUPÇÃO NOS ESTADOS... CORRUPÇÃO ➡️ DESVIO DE RECURSOS ➡️ FALTA DINHEIRO PARA SAÚDE ➡️ SEM RECURSOS FALTA CONDIÇÕES DE SALVAR VIDAS ➡️ MORTES AUMENTAM.	0
Por isso não devemos fazer apologia ao uso de armas. Arma é coisa séria e perigosa.	0
preparadíssima para assumir a cadeira no Senado Federal. Já abordou sobre creches, Fundo Constitucional, participação popular e o debate segue. Vamos com Rosilene para o Senado!	0
. Contando as horas deste processo ser acelerado, como ocorreu com Luiz Inácio e DD ser preso.	0
Me desculpe, mas a você não se pode dá o benéfico da ignorância não! Você é mau ca.ra.ter mesmo !	0
Não sra. Se bolsonaro ganhar lula está acabado. e o inferno acaba junto com ele. Poderemos enfim votar em candidatos normais e viáveis, para suceder bolsonaro.	0
Vá estudar preguiçosa, você e tua família vivem as minhas custas, trabalho para te pagar e você vem escrever merda aqui? Esquerdistas são todos vagabundos. O que falta é você achar o que fazer.	0
Alê, Janones não tem escrupulos Se ele tiver podres do PT e do Moraes nas mãos, certamente irá chatagiá-los, e veremos estes o protegendo, ou será calado, apagado igual Joice, Frote e outros.	0
E você acha lindo ele tá viajando e o povo da Bahia pedindo socorro, né? Palhaça sai Twitter e vai trabalhar	0
Deputada estadual: Deputado federal: Senador: Governador: Presidente:	0
